threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.32,0.029163144547759933,0.9078947368421053,0.056511056511056514,0.12921348314606743,0.9493159752868491,0.9751527151948716,0.8095250162566824,43023,2297,7,69,2297.0,7.0,69.0,43023.0,2472.0
0.33,0.03031634446397188,0.9078947368421053,0.058673469387755105,0.13372093023255813,0.9513018534863195,0.9751527151948716,0.8095250162566824,43113,2207,7,69,2207.0,7.0,69.0,43113.0,2382.0
0.34,0.031320926009986386,0.9078947368421053,0.060552874067573495,0.13761467889908258,0.9529126213592233,0.9751527151948716,0.8095250162566824,43186,2134,7,69,2134.0,7.0,69.0,43186.0,2309.0
0.35,0.032670454545454544,0.9078947368421053,0.06307129798903108,0.1427980132450331,0.9549205648720211,0.9751527151948716,0.8095250162566824,43277,2043,7,69,2043.0,7.0,69.0,43277.0,2218.0
0.36,0.03369140625,0.9078947368421053,0.06497175141242938,0.14668367346938777,0.9563327449249779,0.9751527151948716,0.8095250162566824,43341,1979,7,69,1979.0,7.0,69.0,43341.0,2154.0
0.37,0.03479576399394856,0.9078947368421053,0.06702282661486159,0.15085264538696982,0.9577669902912621,0.9751527151948716,0.8095250162566824,43406,1914,7,69,1914.0,7.0,69.0,43406.0,2089.0
0.38,0.03641160949868074,0.9078947368421053,0.0700152207001522,0.15688949522510232,0.9597087378640776,0.9751527151948716,0.8095250162566824,43494,1826,7,69,1826.0,7.0,69.0,43494.0,2001.0
0.39,0.0379746835443038,0.9078947368421053,0.07290015847860538,0.16265912305516267,0.9614298323036187,0.9751527151948716,0.8095250162566824,43572,1748,7,69,1748.0,7.0,69.0,43572.0,1923.0
0.4,0.039182282793867124,0.9078947368421053,0.07512248230811105,0.16707021791767554,0.9626654898499559,0.9751527151948716,0.8095250162566824,43628,1692,7,69,1692.0,7.0,69.0,43628.0,1867.0
0.41,0.04063604240282685,0.9078947368421053,0.0777903043968433,0.17232767232767232,0.9640556045895852,0.9751527151948716,0.8095250162566824,43691,1629,7,69,1629.0,7.0,69.0,43691.0,1804.0
0.42,0.041767554479418885,0.9078947368421053,0.0798611111111111,0.17638036809815952,0.9650706090026479,0.9751527151948716,0.8095250162566824,43737,1583,7,69,1583.0,7.0,69.0,43737.0,1758.0
0.43,0.04331450094161959,0.9078947368421053,0.08268424206111444,0.18186610437532946,0.9663724624889674,0.9751527151948716,0.8095250162566824,43796,1524,7,69,1524.0,7.0,69.0,43796.0,1699.0
0.44,0.04466019417475728,0.9078947368421053,0.0851326341764343,0.18658734451054623,0.9674315975286849,0.9751527151948716,0.8095250162566824,43844,1476,7,69,1476.0,7.0,69.0,43844.0,1651.0
0.45,0.045877659574468085,0.9078947368421053,0.08734177215189873,0.19081858407079647,0.9683362753751104,0.9751527151948716,0.8095250162566824,43885,1435,7,69,1435.0,7.0,69.0,43885.0,1610.0
0.46,0.04742268041237113,0.9078947368421053,0.09013716525146963,0.1961341671404207,0.9694174757281553,0.9751527151948716,0.8095250162566824,43934,1386,7,69,1386.0,7.0,69.0,43934.0,1561.0
0.47,0.04886685552407932,0.9078947368421053,0.09274193548387097,0.20104895104895104,0.9703662842012356,0.9751527151948716,0.8095250162566824,43977,1343,7,69,1343.0,7.0,69.0,43977.0,1518.0
0.48,0.049889948642699924,0.8947368421052632,0.0945100764419736,0.20395920815836832,0.9714254192409533,0.9751527151948716,0.8095250162566824,44025,1295,8,68,1295.0,8.0,68.0,44025.0,1495.0
0.49,0.05155420773313116,0.8947368421052632,0.0974910394265233,0.20948860135551448,0.972396293027361,0.9751527151948716,0.8095250162566824,44069,1251,8,68,1251.0,8.0,68.0,44069.0,1451.0
0.5,0.05341712490180676,0.8947368421052632,0.10081541882876205,0.21559923906150918,0.9734112974404237,0.9751527151948716,0.8095250162566824,44115,1205,8,68,1205.0,8.0,68.0,44115.0,1405.0
0.51,0.05537459283387622,0.8947368421052632,0.10429447852760736,0.22193211488250653,0.9744042365401588,0.9751527151948716,0.8095250162566824,44160,1160,8,68,1160.0,8.0,68.0,44160.0,1360.0
0.52,0.05787234042553192,0.8947368421052632,0.10871302957633892,0.22988505747126436,0.9755736981465137,0.9751527151948716,0.8095250162566824,44213,1107,8,68,1107.0,8.0,68.0,44213.0,1307.0
0.53,0.05964912280701754,0.8947368421052632,0.1118421052631579,0.23545706371191136,0.9763459841129744,0.9751527151948716,0.8095250162566824,44248,1072,8,68,1072.0,8.0,68.0,44248.0,1272.0
0.54,0.06204379562043796,0.8947368421052632,0.11604095563139932,0.24285714285714285,0.9773168578993822,0.9751527151948716,0.8095250162566824,44292,1028,8,68,1028.0,8.0,68.0,44292.0,1228.0
0.55,0.06427221172022685,0.8947368421052632,0.11992945326278659,0.24963289280469897,0.9781553398058253,0.9751527151948716,0.8095250162566824,44330,990,8,68,990.0,8.0,68.0,44330.0,1190.0
0.56,0.06673209028459273,0.8947368421052632,0.12420091324200913,0.25699168556311414,0.9790158870255957,0.9751527151948716,0.8095250162566824,44369,951,8,68,951.0,8.0,68.0,44369.0,1151.0
0.57,0.06875631951466127,0.8947368421052632,0.12769953051643193,0.262954369682908,0.9796778464254192,0.9751527151948716,0.8095250162566824,44399,921,8,68,921.0,8.0,68.0,44399.0,1121.0
0.58,0.07127882599580712,0.8947368421052632,0.13203883495145632,0.2702702702702703,0.98045013239188,0.9751527151948716,0.8095250162566824,44434,886,8,68,886.0,8.0,68.0,44434.0,1086.0
0.59,0.0737527114967462,0.8947368421052632,0.13627254509018036,0.27732463295269166,0.9811562224183583,0.9751527151948716,0.8095250162566824,44466,854,8,68,854.0,8.0,68.0,44466.0,1054.0
0.6,0.0757238307349666,0.8947368421052632,0.13963039014373715,0.28286189683860236,0.9816857899382171,0.9751527151948716,0.8095250162566824,44490,830,8,68,830.0,8.0,68.0,44490.0,1030.0
0.61,0.07879490150637311,0.8947368421052632,0.1448349307774228,0.2913453299057412,0.9824580759046778,0.9751527151948716,0.8095250162566824,44525,795,8,68,795.0,8.0,68.0,44525.0,995.0
0.62,0.08163265306122448,0.8947368421052632,0.1496149614961496,0.2990325417766051,0.9831200353045013,0.9751527151948716,0.8095250162566824,44555,765,8,68,765.0,8.0,68.0,44555.0,965.0
0.63,0.0834355828220859,0.8947368421052632,0.1526374859708193,0.30384271671134944,0.9835172109443954,0.9751527151948716,0.8095250162566824,44573,747,8,68,747.0,8.0,68.0,44573.0,947.0
0.64,0.08629441624365482,0.8947368421052632,0.1574074074074074,0.31135531135531136,0.9841129744042365,0.9751527151948716,0.8095250162566824,44600,720,8,68,720.0,8.0,68.0,44600.0,920.0
0.65,0.0891218872870249,0.8947368421052632,0.16209773539928488,0.31865042174320524,0.9846646072374228,0.9751527151948716,0.8095250162566824,44625,695,8,68,695.0,8.0,68.0,44625.0,895.0
0.66,0.09239130434782608,0.8947368421052632,0.16748768472906403,0.3269230769230769,0.9852603706972639,0.9751527151948716,0.8095250162566824,44652,668,8,68,668.0,8.0,68.0,44652.0,868.0
0.67,0.09537166900420757,0.8947368421052632,0.17237008871989862,0.3343166175024582,0.9857678729037952,0.9751527151948716,0.8095250162566824,44675,645,8,68,645.0,8.0,68.0,44675.0,845.0
0.68,0.09798270893371758,0.8947368421052632,0.17662337662337663,0.3406813627254509,0.9861871138570167,0.9751527151948716,0.8095250162566824,44694,626,8,68,626.0,8.0,68.0,44694.0,826.0
0.69,0.10044313146233383,0.8947368421052632,0.1806108897742364,0.34658511722731905,0.9865622241835834,0.9751527151948716,0.8095250162566824,44711,609,8,68,609.0,8.0,68.0,44711.0,809.0
0.7,0.10318664643399089,0.8947368421052632,0.18503401360544217,0.3530633437175493,0.9869593998234775,0.9751527151948716,0.8095250162566824,44729,591,8,68,591.0,8.0,68.0,44729.0,791.0
0.71,0.10708661417322834,0.8947368421052632,0.19127988748241911,0.362087326943557,0.9874889673433362,0.9751527151948716,0.8095250162566824,44753,567,8,68,567.0,8.0,68.0,44753.0,767.0
0.72,0.11092985318107668,0.8947368421052632,0.19738751814223512,0.3707742639040349,0.9879744042365401,0.9751527151948716,0.8095250162566824,44775,545,8,68,545.0,8.0,68.0,44775.0,745.0
0.73,0.11447811447811448,0.8947368421052632,0.20298507462686566,0.37861915367483295,0.9883936451897617,0.9751527151948716,0.8095250162566824,44794,526,8,68,526.0,8.0,68.0,44794.0,726.0
0.74,0.11663807890222985,0.8947368421052632,0.20637329286798178,0.3833145434047351,0.9886363636363636,0.9751527151948716,0.8095250162566824,44805,515,8,68,515.0,8.0,68.0,44805.0,715.0
0.75,0.11867364746945899,0.8947368421052632,0.20955315870570107,0.38768529076396807,0.9888570167696381,0.9751527151948716,0.8095250162566824,44815,505,8,68,505.0,8.0,68.0,44815.0,705.0
0.76,0.12341197822141561,0.8947368421052632,0.21690590111642744,0.39766081871345027,0.989342453662842,0.9751527151948716,0.8095250162566824,44837,483,8,68,483.0,8.0,68.0,44837.0,683.0
0.77,0.1266540642722117,0.881578947368421,0.22148760330578512,0.4021608643457383,0.9898058252427184,0.9751527151948716,0.8095250162566824,44858,462,9,67,462.0,9.0,67.0,44858.0,687.0
0.78,0.13111545988258316,0.881578947368421,0.2282793867120954,0.4110429447852761,0.9902030008826125,0.9751527151948716,0.8095250162566824,44876,444,9,67,444.0,9.0,67.0,44876.0,669.0
0.79,0.1346938775510204,0.868421052631579,0.2332155477031802,0.4156171284634761,0.9906443071491615,0.9751527151948716,0.8095250162566824,44896,424,10,66,424.0,10.0,66.0,44896.0,674.0
0.8,0.14163090128755365,0.868421052631579,0.24354243542435425,0.42857142857142855,0.9911738746690203,0.9751527151948716,0.8095250162566824,44920,400,10,66,400.0,10.0,66.0,44920.0,650.0
0.81,0.1456953642384106,0.868421052631579,0.2495274102079395,0.43593130779392336,0.9914607237422771,0.9751527151948716,0.8095250162566824,44933,387,10,66,387.0,10.0,66.0,44933.0,637.0
0.82,0.15384615384615385,0.868421052631579,0.2613861386138614,0.45020463847203274,0.9919902912621359,0.9751527151948716,0.8095250162566824,44957,363,10,66,363.0,10.0,66.0,44957.0,613.0
0.83,0.16097560975609757,0.868421052631579,0.2716049382716049,0.46218487394957986,0.9924095322153574,0.9751527151948716,0.8095250162566824,44976,344,10,66,344.0,10.0,66.0,44976.0,594.0
0.84,0.17010309278350516,0.868421052631579,0.28448275862068967,0.476878612716763,0.9928949691085613,0.9751527151948716,0.8095250162566824,44998,322,10,66,322.0,10.0,66.0,44998.0,572.0
0.85,0.17886178861788618,0.868421052631579,0.2966292134831461,0.4903417533432392,0.9933142100617829,0.9751527151948716,0.8095250162566824,45017,303,10,66,303.0,10.0,66.0,45017.0,553.0
0.86,0.19130434782608696,0.868421052631579,0.31353919239904987,0.5084745762711864,0.9938437775816417,0.9751527151948716,0.8095250162566824,45041,279,10,66,279.0,10.0,66.0,45041.0,529.0
0.87,0.2037037037037037,0.868421052631579,0.33,0.5254777070063694,0.9943071491615181,0.9751527151948716,0.8095250162566824,45062,258,10,66,258.0,10.0,66.0,45062.0,508.0
0.88,0.21568627450980393,0.868421052631579,0.34554973821989526,0.5409836065573771,0.9947043248014121,0.9751527151948716,0.8095250162566824,45080,240,10,66,240.0,10.0,66.0,45080.0,490.0
0.89,0.22448979591836735,0.868421052631579,0.3567567567567568,0.5518394648829431,0.9949691085613416,0.9751527151948716,0.8095250162566824,45092,228,10,66,228.0,10.0,66.0,45092.0,478.0
0.9,0.24,0.868421052631579,0.37606837606837606,0.5699481865284974,0.9953883495145631,0.9751527151948716,0.8095250162566824,45111,209,10,66,209.0,10.0,66.0,45111.0,459.0
0.91,0.25984251968503935,0.868421052631579,0.4,0.5913978494623656,0.9958517210944395,0.9751527151948716,0.8095250162566824,45132,188,10,66,188.0,10.0,66.0,45132.0,438.0
0.92,0.28085106382978725,0.868421052631579,0.42443729903536975,0.6122448979591837,0.9962709620476611,0.9751527151948716,0.8095250162566824,45151,169,10,66,169.0,10.0,66.0,45151.0,419.0
0.93,0.30985915492957744,0.868421052631579,0.45674740484429066,0.6382978723404256,0.996756398940865,0.9751527151948716,0.8095250162566824,45173,147,10,66,147.0,10.0,66.0,45173.0,397.0
0.94,0.3316582914572864,0.868421052631579,0.48,0.6560636182902585,0.9970653133274493,0.9751527151948716,0.8095250162566824,45187,133,10,66,133.0,10.0,66.0,45187.0,383.0
0.95,0.36464088397790057,0.868421052631579,0.5136186770428015,0.6804123711340206,0.9974624889673434,0.9751527151948716,0.8095250162566824,45205,115,10,66,115.0,10.0,66.0,45205.0,365.0
0.96,0.41509433962264153,0.868421052631579,0.5617021276595745,0.712742980561555,0.9979479258605473,0.9751527151948716,0.8095250162566824,45227,93,10,66,93.0,10.0,66.0,45227.0,343.0
0.97,0.4714285714285714,0.868421052631579,0.6111111111111112,0.7432432432432432,0.9983671668137688,0.9751527151948716,0.8095250162566824,45246,74,10,66,74.0,10.0,66.0,45246.0,324.0
0.98,0.5409836065573771,0.868421052631579,0.6666666666666666,0.7746478873239436,0.9987643424536629,0.9751527151948716,0.8095250162566824,45264,56,10,66,56.0,10.0,66.0,45264.0,306.0
0.99,0.5752212389380531,0.8552631578947368,0.6878306878306878,0.7793764988009593,0.9989408649602824,0.9751527151948716,0.8095250162566824,45272,48,11,65,48.0,11.0,65.0,45272.0,323.0
